Permit Number,Status,Permit Type,Permit SubType,Permit Sub Type Description,Date Entered,Date Issued,Parcel,Business Name,Business Owner,Address,City,State,Zip,Council District,Census Tract,Mapped Location
11-16811,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,05/25/2011,07/28/2011,11714014900,Sam's Discount Tobacco,Ereny Younan,4010  Hillsboro PIKE,Nashville,TN,37215.00000,25,37017901,"4010 Hillsboro PIKE
Nashville, TN 37215
(36.103865, -86.815547)"
05-18392,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/23/2005,10/13/2005,14800019100,Las Potrancas Bar,Jose E. Chapa,114  Haywood LN,Nashville,TN,37211.00000,28,37015613,"114 Haywood LN
Nashville, TN 37211
"
07-18765,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/26/2007,11/29/2007,16014002800,Longhorn Steakhouse of Brentwo,"RARE Hospitality International, Inc.",774  Old Hickory BLVD,Brentwood,TN,37027.00000,4,37018803,"774 Old Hickory BLVD
Brentwood, TN 37027
(36.041365, -86.778081)"
15-20101,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/16/2015,05/15/2015,14200026800,Sakura Japanese Cuisine,Sakura KJ LLC,7079  Highway 70  S,Nashville,TN,37221.00000,34,37018404,"7079 Highway 70 S
Nashville, TN 37221
(36.074595, -86.920469)"
03-15806,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,08/20/2003,10/03/2003,16100003200,Wal-Mart Neighborhood Market,"Wal-Mart Stores East, LP",5531  Edmondson PIKE,Nashville,TN,37211.00000,4,37018801,"5531 Edmondson PIKE
Nashville, TN 37211
(36.042209, -86.743972)"
04-15903,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,10/31/2002,06/17/2004,16100014000,Kroger Food & Drug,Kroger Limited Partnership,5771  Nolensville PIKE,Nashville,TN,37211.00000,27,37019105,"5771 Nolensville PIKE
Nashville, TN 37211
(36.046539, -86.713385)"
07-00827,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,11/09/2007,11/29/2007,14800017600,King Market Inc.,King Market Inc,1801  Antioch PIKE,Antioch,TN,37013.00000,28,37015613,"1801 Antioch PIKE
Antioch, TN 37013
(36.070467, -86.684635)"
02-17949,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/26/2002,09/19/2002,10403002600,Ted's Montana Grill,"TMG of Tennessee, Inc.",2817  West End AVE,Nashville,TN,37203.00000,18,37016600,"2817 West End AVE
Nashville, TN 37203
(36.14472, -86.812946)"
94-15808,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/19/1993,02/01/1994,11500000100,VFW Post 1970,West Nashville Veterans of Foreign Wars Post 1970,7220  OLD CHARLOTTE PIKE,NASHVILLE,TN,37209.00000,35,37018301,"7220 OLD CHARLOTTE PIKE
NASHVILLE, TN 37209
(36.12144, -86.921085)"
17-25234,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/25/2017,10/13/2017,13500006100,MAPCO #3218,,2101  MURFREESBORO PIKE,NASHVILLE,TN,37217.00000,28,37015614,"2101 MURFREESBORO PIKE
NASHVILLE, TN 37217
(36.094233, -86.653197)"
15-20095,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/08/2014,04/23/2015,10801008200,Four Points by Sheraton,NNP Royal Partnership,800  Royal PKWY,Nashville,TN,37214.00000,15,37015502,"800 Royal PKWY
Nashville, TN 37214
(36.14555, -86.662972)"
07-18700,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/11/2007,07/13/2007,14707024600,Seoul Garden Restaurant,"Livingstone Restaurant, Inc.",4928  Edmondson PIKE  101,Nashville,TN,37211.00000,27,37018904,"4928 Edmondson PIKE 101
Nashville, TN 37211
(36.076288, -86.727509)"
15-20186,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/25/2015,09/24/2015,16300036300,Holiday Inn Express & Suites,Milap HIE LLC,201  Crossings PL,Antioch,TN,37013.00000,32,37015629,"201 Crossings PL
Antioch, TN 37013
(36.044401, -86.648104)"
16-20236,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/28/2016,02/17/2016,10713015700,Delicias de el Salvador,Silvia R. Alvarado,1086  Murfreesboro PIKE,Nashville,TN,37217.00000,13,37015803,"1086 Murfreesboro PIKE
Nashville, TN 37217
(36.127136, -86.711517)"
14-19933,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/03/2014,07/10/2014,16000004400,Firebirds Wood Fired Grill,Firebirds of Brentwood LLC,700  Old Hickory BLVD  204,Brentwood,TN,37027.00000,4,37018803,"700 Old Hickory BLVD 204
Brentwood, TN 37027
(36.0403, -86.76834)"
97-14843,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,11/18/1997,12/04/1997,11802018100,Kroger Food & Drug,Kroger Limited Partnership,2615  Franklin PIKE,Nashville,TN,37204.00000,17,37017100,"2615 Franklin PIKE
Nashville, TN 37204
(36.120648, -86.775199)"
13-17052,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,06/25/2013,07/11/2013,11913012900,Rose Discount Tobacco and Beer,Joseph Tawfik,3011  Nolensville PIKE,Nashville,TN,37211.00000,16,37017500,"3011 Nolensville PIKE
Nashville, TN 37211
(36.106854, -86.743119)"
16-17345,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,06/29/2016,09/09/2016,13300011500,Aldi,Aldi Inc (Tennessee),3758  Nolensville PIKE,Nashville,TN,37211.00000,26,37019006,"3758 Nolensville PIKE
Nashville, TN 37211
(36.089396, -86.73293)"
10-19186,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/22/2010,05/14/2010,15500012400,Las Palmas Mexican Restaurant,Las Palmas Mexican Restaurant #9 Inc.,8167  Highway 100,Nashville,TN,37221.00000,35,37018405,"8167 Highway 100
Nashville, TN 37221
(36.044216, -86.957592)"
11-16842,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,11/29/2011,12/14/2011,10801005600,Donelson Pike Cigars & Ale,"Kiransheena, Inc.",519  Donelson PIKE  102,Nashville,TN,37214.00000,15,37015502,"519 Donelson PIKE 102
Nashville, TN 37214
(36.148258, -86.666277)"
14-17128,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,03/24/2014,04/11/2014,16300027300,Foodtown Supermarket,Foodtown Inc.,5312  Cane Ridge RD,Antioch,TN,37013.00000,32,37019117,"5312 Cane Ridge RD
Antioch, TN 37013
(36.043138, -86.661617)"
08-18849,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/24/2007,06/02/2008,10200009300,Red Robin America's Gourmet Bu,Red Robin International Inc.,6802  Charlotte PIKE,Nashville,TN,37209.00000,20,37018201,"6802 Charlotte PIKE
Nashville, TN 37209
(36.134707, -86.888149)"
T18-25468,TEMPORARY,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,04/12/2018,,16300023700,SLIM AND HUSKY'S PIZZA AND BEERIA,,5270  HICKORY HOLLOW PKWY,ANTIOCH,TN,37013.00000,32,37015628,"5270 HICKORY HOLLOW PKWY
ANTIOCH, TN 37013
(36.048084, -86.656445)"
11-16787,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,04/19/2011,05/12/2011,11909019600,M-Market,"M-Market, Inc.",234  Thompson LN,Nashville,TN,37211.00000,16,37017401,"234 Thompson LN
Nashville, TN 37211
(36.110749, -86.742643)"
12-16862,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,10/19/2011,02/09/2012,11811017900,Wal-Mart Store,Wal-Mart Stores East LP,2421  Powell AVE,Nashville,TN,37204.00000,16,37980200,"2421 Powell AVE
Nashville, TN 37204
(36.111652, -86.767602)"
16-20229,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/15/2015,01/29/2016,093130C80100CO,Otaku Ramen,Otaku South LLC,1104  Division ST,Nashville,TN,37203.00000,19,37019500,"1104 Division ST
Nashville, TN 37203
(36.150986, -86.783398)"
10-16633,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,01/13/2010,02/04/2010,10200009900,Target Store,Target Corporation,6814  Charlotte PIKE,Nashville,TN,37209.00000,20,37018201,"6814 Charlotte PIKE
Nashville, TN 37209
(36.133727, -86.890694)"
11-16773,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,03/04/2011,03/24/2011,14908004800,Kwik Stop,Hauter Enterprises LLC,2582  Murfreesboro PIKE,Nashville,TN,37217.00000,29,37015612,"2582 Murfreesboro PIKE
Nashville, TN 37217
(36.074898, -86.639013)"
15-17245,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,07/09/2014,03/13/2015,13500001000,Speedway,Speedway LLC,1975  Murfreesboro PIKE,Nashville,TN,37217.00000,28,37015613,"1975 Murfreesboro PIKE
Nashville, TN 37217
(36.095983, -86.655354)"
14-19919,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/22/2014,06/12/2014,10700005000,Delaware North Companies Trave,Delaware North Companies Travel Hospitality Servic,1  Terminal DR  317,Nashville,TN,37214.00000,13,37980100,"1 Terminal DR 317
Nashville, TN 37214
(36.13158, -86.668727)"
15-00176,ISSUED,BBPERMIT,WHOLESALES,"BB - Wholesale, Distributor, manufacture",10/30/2015,12/15/2015,13400022000,Bounty Bev,Bounty Bev LLC,414  Harding Industrial DR,Nashville,TN,37211.00000,13,37015613,"414 Harding Industrial DR
Nashville, TN 37211
(36.091378, -86.690821)"
14-19957,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/19/2013,08/14/2014,11909013100,"Flatrock Coffee, Tea & More","KSE, LLC",2640  Nolensville PIKE,Nashville,TN,37211.00000,16,37017300,"2640 Nolensville PIKE
Nashville, TN 37211
(36.114571, -86.747098)"
06-16191,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/28/2006,10/12/2006,10402034700,Kwik Sak,"Punjab, Inc.",2804  West End AVE,Nashville,TN,37203.00000,21,37016600,"2804 West End AVE
Nashville, TN 37203
(36.144945, -86.812577)"
05-18354,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/07/2005,07/14/2005,11806016300,Las Palmas Mexican Rest.,"Palmas Verdes #4, LLC",816  GALE LN,NASHVILLE,TN,37204.00000,17,37017100,"816 GALE LN
NASHVILLE, TN 37204
(36.118828, -86.775811)"
08-16375,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,03/28/2008,04/24/2008,12016000101,Airport Discount Tobacco &Beer,Ayman S Shenouda,1605  Murfreesboro PIKE,Nashville,TN,37217.00000,28,37015613,"1605 Murfreesboro PIKE
Nashville, TN 37217
(36.105416, -86.671369)"
01-15458,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/19/2001,10/11/2001,14100001800,Daily's,"Tri-Star Energy, LLC",7691  Highway 70  S,Nashville,TN,37221.00000,22,37018409,"7691 Highway 70 S
Nashville, TN 37221
(36.079854, -86.954161)"
07-16237,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,03/15/2007,04/12/2007,16100028900,Wal-Mart Supercenter,"Wal-Mart Stores East, LP",5824  Nolensville PIKE,Nashville,TN,37211.00000,31,37019112,"5824 Nolensville PIKE
Nashville, TN 37211
(36.042299, -86.712918)"
03-18016,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/28/2003,04/01/2003,10611000400,Holiday Inn Express Hotel,"Shree Hospitality, LLC",714  Spence LN,Nashville,TN,37217.00000,19,37015803,"714 Spence LN
Nashville, TN 37217
(36.13782, -86.723856)"
16-20345,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/14/2016,09/29/2016,16100010000,Princes Hot Chicken Shack Sout,Jeffries Hospitality South LLC,5814  Nolensville PIKE  110,Nashville,TN,37211.00000,27,37019112,"5814 Nolensville PIKE 110
Nashville, TN 37211
(36.043624, -86.713054)"
05-15959,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/14/2004,01/20/2005,11915012200,Kroger L-542,Kroger Limited Partnership,61  Thompson LN E,Nashville,TN,37211.00000,16,17400601,"61 Thompson LN E
Nashville, TN 37211
(36.110895, -86.725591)"
94-15770,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/30/1993,02/01/1994,13006001100,Belle Meade Country Club,Belle Meade Country Club Inc.,815  Belle Meade BLVD,Nashville,TN,37205.00000,23,37018500,"815 Belle Meade BLVD
Nashville, TN 37205
(36.095236, -86.856852)"
12-19455,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/10/2012,05/21/2012,12800016400,O'Charley's Restaurant,"O'Charley's, LLC",110  Coley Davis CT,Nashville,TN,37221.00000,22,37018401,"110 Coley Davis CT
Nashville, TN 37221
(36.080971, -86.953941)"
10-16613,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,12/14/2009,01/14/2010,16400029400,Dollar General Store,"Dolgencorp, LLC",2214  Hobson PIKE,Antioch,TN,37013.00000,33,37015631,"2214 Hobson PIKE
Antioch, TN 37013
(36.05946, -86.596795)"
12-16986,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,12/05/2012,01/02/2013,14200006601,"Bellevue Oil, Inc.","Bellevue Oil, Inc.",7395  Old Harding PIKE,Nashville,TN,37221.00000,22,37018405,"7395 Old Harding PIKE
Nashville, TN 37221
(36.064984, -86.938664)"
08-16377,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,04/04/2008,04/24/2008,16100019100,Dollar General Market,"Dolgencorp, LLC.",5445  Nolensville PIKE,Nashville,TN,37211.00000,27,37019105,"5445 Nolensville PIKE
Nashville, TN 37211
(36.049717, -86.713921)"
13-17021,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,02/12/2013,03/14/2013,14711003300,"Supermercado Latina, LLC","Supermercado Latina, LLC",4539  Nolensville PIKE,Nashville,TN,37211.00000,27,37018904,"4539 Nolensville PIKE
Nashville, TN 37211
(36.070448, -86.722348)"
02-17926,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/11/2002,07/09/2002,10404001200,Mellow Mushroom,"LIP, Inc.",212  21st AVE S,Nashville,TN,37203.00000,19,37019500,"212 21st AVE S
Nashville, TN 37203
(36.147544, -86.799328)"
14-17159,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,05/22/2014,06/12/2014,10600010600,Phillips 66,CJ Grace Inc,815  Murfreesboro PIKE,Nashville,TN,37217.00000,16,37015802,"815 Murfreesboro PIKE
Nashville, TN 37217
(36.135074, -86.724182)"
16-20365,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/07/2016,10/27/2016,10508024000,Stirrup Nashville,"MBVentures, LLC",1529  4th AVE S,Nashville,TN,37210.00000,17,37016100,"1529 4th AVE S
Nashville, TN 37210
(36.137362, -86.761397)"
10-19091,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/23/2010,10/14/2010,10506019900,The Basement,"PAJU, LLC",1604  8th AVE S,Nashville,TN,37203.00000,17,37016200,"1604 8th AVE S
Nashville, TN 37203
(36.137102, -86.778792)"
01-15467,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/20/2001,10/11/2001,10306015400,Daily's,"Tri-Star Energy, LLC",204  WHITE BRIDGE PIKE,NASHVILLE,TN,37209.00000,24,37018101,"204 WHITE BRIDGE PIKE
NASHVILLE, TN 37209
(36.138577, -86.85755)"
94-16047,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/09/1993,02/01/1994,10700006400,South Nashville Knights of Col,"South Nashville Knights of Columbus Club, Inc.",2300  Knights of Columbus BLVD,Nashville,TN,37214.00000,13,37980100,"2300 Knights of Columbus BLVD
Nashville, TN 37214
(36.143177, -86.689763)"
17-20417,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/24/2017,02/09/2017,15500020400,Chaffin's Barn,Limit Up Enterprises LLC,8204  Highway 100,Nashville,TN,37221.00000,35,37018408,"8204 Highway 100
Nashville, TN 37221
(36.042909, -86.959933)"
02-17934,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/10/2002,08/01/2002,13204000200,Rafferty's Restaurant & Bar,"Horizon Restaurant Group, Inc.",4041  Armory Oaks DR,Nashville,TN,37204.00000,16,37980200,"4041 Armory Oaks DR
Nashville, TN 37204
(36.104669, -86.761944)"
17-25245,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/25/2017,02/12/2018,08600020800,TIGERMARKET #41072H,,5430  OLD HICKORY BLVD,HERMITAGE,TN,37076.00000,11,37015623,"5430 OLD HICKORY BLVD
HERMITAGE, TN 37076
(36.182712, -86.608719)"
16-20326,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/08/2016,08/25/2016,11815001000,Hollywood Stadium 27 & RPX,R.C. Cobb Inc,719  Thompson LN,Nashville,TN,37204.00000,16,37980200,"719 Thompson LN
Nashville, TN 37204
(36.111918, -86.763348)"
17-25030,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/17/2017,06/09/2017,14700000800,LAS CAZUELAS MEXICAN GRILL,,4114  NOLENSVILLE PIKE,NASHVILLE,TN,37211.00000,30,37019004,"4114 NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.078589, -86.726047)"
11-16780,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,03/01/2011,04/06/2011,16204000500,Express Market,"RM Alazab, Inc.",2408  Antioch PIKE,Antioch,TN,37013.00000,28,37015627,"2408 Antioch PIKE
Antioch, TN 37013
(36.060277, -86.672916)"
17-25027,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/17/2017,05/26/2017,13315015400,LAS TABLAS,,3955  NOLENSVILLE PIKE,NASHVILLE,TN,37211.00000,26,37018901,"3955 NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.085616, -86.728851)"
T18-25498,TEMPORARY,BBPERMIT,ONSALES,BB - On Site Sales,05/03/2018,,10200005400,PHO T & N LLC,,3745  ANNEX AVE,NASHVILLE,TN,37209.00000,20,37018201,"3745 ANNEX AVE
NASHVILLE, TN 37209
(36.14124, -86.883599)"
03-15779,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,04/25/2003,06/11/2003,10706000800,Sudden Service,"Hollingsworth Oil Company, Inc.",801  Briley PKWY,Nashville,TN,37217.00000,13,37015804,"801 Briley PKWY
Nashville, TN 37217
(36.139339, -86.700331)"
14-19925,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/24/2014,06/24/2014,148110A01800CO,7 Mares Restaurant,Roxanne Moreno,931  Richards RD,Antioch,TN,37013.00000,28,15615,"931 Richards RD
Antioch, TN 37013
(36.069056, -86.681821)"
12-16856,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,12/22/2011,01/12/2012,16400029400,Hobson Tobacco and Beer,"Eman Tadrous, Maher Tadrous",2216  Hobson PIKE,Antioch,TN,37013.00000,33,37015631,"2216 Hobson PIKE
Antioch, TN 37013
(36.05951, -86.596737)"
16-17375,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/30/2016,11/17/2016,14200017800,Mapco Mart 3411,Mapco Express Inc,7101  HIGHWAY 70  S,NASHVILLE,TN,37221.00000,34,37018404,"7101 HIGHWAY 70 S
NASHVILLE, TN 37221
(36.074318, -86.921496)"
17-25074,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/05/2017,09/14/2017,10200008400,Wingstop,,7088C  CHARLOTTE PIKE,NASHVILLE,TN,37209.00000,35,37018301,"7088C CHARLOTTE PIKE
NASHVILLE, TN 37209
(36.128285, -86.907092)"
15-20168,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/06/2015,08/27/2015,14712003501,Tacos Y Mariscos El Tapatio,"Tapatio, Inc.",4801  Nolensville PIKE,Nashville,TN,37211.00000,27,37018904,"4801 Nolensville PIKE
Nashville, TN 37211
(36.066375, -86.717792)"
15-20092,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/01/2015,04/23/2015,118010L00200CO,Burger Up,"Burger Up, LLC",2901  12th AVE S 101,Nashville,TN,37204.00000,18,16900,"2901 12th AVE S 101
Nashville, TN 37204
(36.121391, -86.790378)"
07-18701,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/10/2007,07/26/2007,13306021800,Taqueria El Tapatio,"Taqueria El Tapatio, Inc.",3609  Nolensville PIKE,Nashville,TN,37211.00000,16,37017500,"3609 Nolensville PIKE
Nashville, TN 37211
(36.096978, -86.738102)"
15-17284,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/02/2015,09/24/2015,14700000601,Southern Hill Mkt Inc,"Southern Hill Mkt, Inc.",4199  Nolensville PIKE,Nashville,TN,37211.00000,26,37018902,"4199 Nolensville PIKE
Nashville, TN 37211
(36.077368, -86.72566)"
14-20004,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/26/2014,11/17/2014,093130D00100CO,Prima,Prima LLC,700  12th AVE S 101,Nashville,TN,37203.00000,19,37019500,"700 12th AVE S 101
Nashville, TN 37203
(36.150625, -86.784387)"
14-19968,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/07/2014,09/10/2014,10616004500,MTV Cafe,Phuong Tong,1001  Murfreesboro PIKE,Nashville,TN,37217.00000,16,37015802,"1001 Murfreesboro PIKE
Nashville, TN 37217
(36.128744, -86.713822)"
13-19771,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/18/2013,08/08/2013,10404017400,The Idle Hour,Thomas Case,1028  16th AVE S,Nashville,TN,37212.00000,19,37016300,"1028 16th AVE S
Nashville, TN 37212
(36.144725, -86.792896)"
04-15951,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,11/12/2004,12/28/2004,14900016000,Super Discount Tobacco,Charlie Zakaria,516  Bell RD,Antioch,TN,37013.00000,32,37015629,"516 Bell RD
Antioch, TN 37013
(36.070879, -86.636537)"
04-18138,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/26/2003,04/14/2004,14200026800,Dalton's Grill,"Dalton's Grill, Inc.",7061  Highway 70  S,Nashville,TN,37221.00000,34,37018404,"7061 Highway 70 S
Nashville, TN 37221
(36.074735, -86.920033)"
10-19177,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/06/2010,04/29/2010,11905015700,La Hacienda,"La Hacienda  #1, Inc.",2615  Nolensville PIKE,Nashville,TN,37211.00000,16,37017300,"2615 Nolensville PIKE
Nashville, TN 37211
(36.11658, -86.748072)"
14-52213,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/21/2014,05/08/2014,10713015700,Billar Bola 8,Jose Santos Del Cid,1088  Murfreesboro PIKE,Nashville,TN,37217.00000,13,37015803,"1088 Murfreesboro PIKE
Nashville, TN 37217
(36.127064, -86.711427)"
99-15165,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,07/13/1999,12/15/1999,15500012400,Kroger Food & Drug,"Kroger Limited Partnership I, an Ohio Limited Part",8141  Highway 100,Nashville,TN,37221.00000,35,37018405,"8141 Highway 100
Nashville, TN 37221
(36.044277, -86.95728)"
18-25419,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/13/2018,04/23/2018,09306000800,PETE & TERRY'S TAVERN,505 Tremont St. Unit 405,501  BROADWAY,NASHVILLE,TN,37203.00000,19,37019500,"501 BROADWAY
NASHVILLE, TN 37203
(36.160427, -86.778611)"
14-19887,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/23/2014,05/08/2014,11400012900,Corner Pub Brentwood,CP4 Inc,710  Old Hickory BLVD  305,Nashville,TN,37027.00000,22,37018301,"710 Old Hickory BLVD 305
Nashville, TN 37027
(36.040594, -86.77106)"
04-18241,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/08/2004,09/23/2004,16100017100,Ibiza Night Club,"Latin Productions, Inc.",15128  Old Hickory BLVD,Nashville,TN,37211.00000,27,37019105,"15128 Old Hickory BLVD
Nashville, TN 37211
(36.045237, -86.716725)"
96-16873,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/27/1996,04/10/1996,14908005800,Larry's,Larry D. Mealer,2572  Murfreesboro PIKE,Nashville,TN,37217.00000,29,37015612,"2572 Murfreesboro PIKE
Nashville, TN 37217
(36.075882, -86.639938)"
94-14297,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,07/22/1993,02/01/1994,16108002500,J. R. Market,Luis R. Cevallos,5303  Nolensville PIKE,Nashville,TN,37211.00000,27,37019105,"5303 Nolensville PIKE
Nashville, TN 37211
(36.05338, -86.715005)"
01-15460,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/19/2001,10/11/2001,16000010200,Daily's,"Tri-Star Energy, LLC",5621  Franklin PIKE,Brentwood,TN,37027.00000,34,37018700,"5621 Franklin PIKE
Brentwood, TN 37027
(36.03784, -86.786444)"
01-15437,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,08/31/2001,10/11/2001,10601006200,Daily's,Tri-Star Energy LLC,601  Fesslers LN,Nashville,TN,37210.00000,19,37015900,"601 Fesslers LN
Nashville, TN 37210
(36.144034, -86.744149)"
13-19795,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/05/2011,09/26/2013,10700005000,Nashville International Airpor,The Metropolitan Nashville Airport Authority,1  Terminal DR,Nashville,TN,37214.00000,13,37980100,"1 Terminal DR
Nashville, TN 37214
(36.13158, -86.668727)"
14-17135,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,04/14/2014,05/08/2014,14200021000,Dollar General,Dolgencorp LLC,7107  Highway 70   S,Nashville,TN,37221.00000,34,37018404,"7107 Highway 70 S
Nashville, TN 37221
(36.074105, -86.922691)"
16-17378,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/30/2016,11/17/2016,12700007901,Mapco Mart 3327,Mapco Express Inc,7725  Highway 70   S,Nashville,TN,37221.00000,22,37018301,"7725 Highway 70 S
Nashville, TN 37221
(36.082119, -86.957981)"
12-19427,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/23/2012,03/08/2012,16900001400,Loveless Cafe Event Barn,"Loveless Cafe, GP",8400  Highway 100,Nashville,TN,37221.00000,35,37018408,"8400 Highway 100
Nashville, TN 37221
(36.034784, -86.971924)"
16-17346,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/06/2016,09/29/2016,14800017800,Antioch Market Inc,Antioch Market Inc,929  Richards RD,Antioch,TN,37013.00000,28,37015615,"929 Richards RD
Antioch, TN 37013
(36.069025, -86.68152)"
09-19022,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/02/2009,07/23/2009,10616004603,Honduras Restaurant,"Honduras Restaurant, Inc.",1051  Murfreesboro PIKE,Nashville,TN,37217.00000,16,37015802,"1051 Murfreesboro PIKE
Nashville, TN 37217
(36.127722, -86.712511)"
15-20135,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/22/2015,07/09/2015,13415000500,Island Vibes,Burnetts LLC,1316  Antioch PIKE,Nashville,TN,37211.00000,28,37015613,"1316 Antioch PIKE
Nashville, TN 37211
(36.084782, -86.690134)"
17-25222,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,09/22/2017,10/12/2017,11909023900,TWIN KEGS,,413  THOMPSON LN,NASHVILLE,TN,37211.00000,16,37017500,"413 THOMPSON LN
NASHVILLE, TN 37211
(36.111037, -86.746833)"
17-25064,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/25/2017,06/08/2017,10801007700,HOLIDAY INN EXPRESS NASHVILLE AIRPORT,,1111  AIRPORT CENTER DR,NASHVILLE,TN,37214.00000,15,37015502,"1111 AIRPORT CENTER DR
NASHVILLE, TN 37214
(36.143947, -86.66367)"
